('', 'anam', '', '', '', 0)
('naman', '222222222', 'male', '29292929292', 'cash', 0)
('naman', '2222222222', 'male', '29292929292', 'cash', 0)
('naman', '2222222222', 'male', '9313787980?', 'cash', 0)
('naman', '9871598132', 'male', '9313787980?', 'cash', 0)
('naman', '9871598132', 'male', '9313787980', 'cash', 0)
('naman', '9871598132', 'male', '9313787980', 'paytm', 0)
('naman', '9871598132', 'male', '9313787980', 'paytm', 0)
('naman', '8382828282', 'male', '2828280028', 'cash', 0)
('naman', '8382828282', 'jascjh', '2828280028', 'cash', 0)
('naman', '8382828282', 'jascjh', '2828280028', 'cash', 0)
('naman', '2323232', 'male', '82e872837872', 'cash', 0)
('naman', '2323232', 'male', '82e872837872', 'cash', 0)
('naman', '2323232', 'male', '82e872837872', 'cash', 0)
('naman', '2323232', 'male', '82e872837872', 'cash', 0)
('naman', '2323232', 'male', '82e872837872', 'cash', 0)
('naman', '2323232', 'male', '82e872837872', 'cash', 0)
('naman', '2323232', 'male', '82e872837872', 'cash', 0)
('naman', '2323232', 'male', '82e872837872', 'cash', 0)
